State,Year,Quater,District,Users
Andhra Pradesh,2021,2,east godavari district,2006272
Andhra Pradesh,2021,2,srikakulam district,837958
Andhra Pradesh,2021,2,visakhapatnam district,2526830
Andhra Pradesh,2021,2,prakasam district,1151232
Andhra Pradesh,2021,2,anantapur district,1492738
Andhra Pradesh,2021,2,kurnool district,1415585
Andhra Pradesh,2021,2,guntur district,1968681
Andhra Pradesh,2021,2,krishna district,2002662
Andhra Pradesh,2021,2,spsr nellore district,1176334
Andhra Pradesh,2021,2,vizianagaram district,729509
Andhra Pradesh,2021,2,ysr district,1103004
Andhra Pradesh,2021,2,west godavari district,1339377
Andhra Pradesh,2021,2,chittoor district,1870723
Andhra Pradesh,2021,3,east godavari district,2150622
Andhra Pradesh,2021,3,srikakulam district,902008
Andhra Pradesh,2021,3,visakhapatnam district,2707931
Andhra Pradesh,2021,3,prakasam district,1239147
Andhra Pradesh,2021,3,anantapur district,1606735
Andhra Pradesh,2021,3,kurnool district,1522196
Andhra Pradesh,2021,3,guntur district,2110878
Andhra Pradesh,2021,3,krishna district,2145423
Andhra Pradesh,2021,3,spsr nellore district,1263550
Andhra Pradesh,2021,3,vizianagaram district,784444
Andhra Pradesh,2021,3,ysr district,1183377
Andhra Pradesh,2021,3,west godavari district,1436576
Andhra Pradesh,2021,3,chittoor district,2007011
Andhra Pradesh,2021,4,east godavari district,2294347
Andhra Pradesh,2021,4,srikakulam district,965335
Andhra Pradesh,2021,4,visakhapatnam district,2888774
Andhra Pradesh,2021,4,prakasam district,1325728
Andhra Pradesh,2021,4,anantapur district,1719437
Andhra Pradesh,2021,4,kurnool district,1628242
Andhra Pradesh,2021,4,guntur district,2252443
Andhra Pradesh,2021,4,krishna district,2288148
Andhra Pradesh,2021,4,spsr nellore district,1349290
Andhra Pradesh,2021,4,vizianagaram district,839606
Andhra Pradesh,2021,4,ysr district,1262963
Andhra Pradesh,2021,4,west godavari district,1532898
Andhra Pradesh,2021,4,chittoor district,2141818
Andhra Pradesh,2022,1,east godavari district,2432305
Andhra Pradesh,2022,1,srikakulam district,1027283
Andhra Pradesh,2022,1,visakhapatnam district,3061324
Andhra Pradesh,2022,1,prakasam district,1408929
Andhra Pradesh,2022,1,anantapur district,1827094
Andhra Pradesh,2022,1,kurnool district,1729513
Andhra Pradesh,2022,1,guntur district,2387051
Andhra Pradesh,2022,1,krishna district,2423373
